epoch	train_loss	val_loss	val_mcc	val_f1	val_pr_auc	val_roc_auc	lr	fold
1	0.5406459214239212	0.09831524640321732	0.8776173097229002	0.8900804289544236	0.9339197898128053	0.9916876376218937	0.001	0
2	0.1836216971381416	0.03610344976186752	0.9591991632407588	0.9635854341736695	0.9753345616676596	0.9983288770053477	0.001	0
3	0.1239386224761385	0.027263961732387543	0.9712508500259515	0.9743589743589743	0.994015935973487	0.9992529097200378	0.001	0
4	0.11839284618893235	0.028921004384756088	0.9619660662449608	0.9661016949152542	0.9837504640405088	0.9972318339100346	0.001	0
5	0.09258038336881368	0.03407939895987511	0.9619660662449608	0.9661016949152542	0.9916706844581321	0.9985490720352312	0.001	0
6	0.0849139891782623	0.03860924392938614	0.9581713131627826	0.962536023054755	0.9613323520063758	0.9926588549858445	0.001	0
7	0.08963544066798107	0.04153091832995415	0.9614510512054265	0.9655172413793104	0.9803402140491815	0.9911725385341301	0.0005	0
8	0.06655983325653696	0.031193286180496216	0.9647241694760481	0.9684813753581661	0.9867660260656951	0.9987830292544826	0.0005	0
1	0.45063931151784115	0.06683812290430069	0.9205615351446669	0.9291784702549575	0.9373665964712986	0.9896272862086012	0.001	1
2	0.2991648625921953	0.07653094828128815	0.9039772696708492	0.9124668435013262	0.9587951390785265	0.9929925852694019	0.001	1
3	0.19748256152571442	0.04019812494516373	0.9463398283318198	0.952112676056338	0.9690598308321814	0.9938823529411764	0.001	1
4	0.12202287837002757	0.02591603808104992	0.9650725478447075	0.9688385269121813	0.9682782910494672	0.9933880375679685	0.001	1
5	0.12073950817420841	0.029990077018737793	0.96861744565775	0.9719101123595506	0.9886896343021591	0.9949817103311914	0.001	1
6	0.09601127524949665	0.038925718516111374	0.959311107605431	0.9635854341736695	0.9838985587470841	0.994040533860603	0.001	1
7	0.07071285425311727	0.037420522421598434	0.9629738427387444	0.9666666666666667	0.9416858502054464	0.9948037567968363	0.001	1
8	0.08431505361397572	0.03401527553796768	0.9747079503445085	0.9774011299435028	0.9801156021454602	0.9943608502224419	0.0005	1
9	0.06380177481963616	0.024284502491354942	0.9808969864176613	0.9829545454545454	0.9527565788759788	0.9939614434008898	0.0005	1
10	0.03223061177485595	0.03423471748828888	0.9626227874557927	0.9664804469273743	0.966688602092975	0.9941749876421158	0.0005	1
11	0.013516149657097154	0.0389234721660614	0.9712486956329115	0.9743589743589743	0.9831254417272659	0.9950805734058329	0.0005	1
