epoch	train_loss	val_loss	val_mcc	val_f1	val_pr_auc	val_roc_auc	lr	fold
12	0.01436603140534536	0.04075805842876434	0.9681480996575546	0.9715909090909091	0.9698899849455926	0.9947582797825012	0.0005	1
13	0.026317383267318462	0.042764194309711456	0.9615620365793376	0.9657142857142857	0.9666371674231272	0.9935877409787444	0.00025	1
14	0.021513554448408953	0.03960771486163139	0.9747079503445085	0.9774011299435028	0.9780781422998012	0.9950232328225407	0.00025	1
1	0.5059026503210584	0.05798795074224472	0.9019097798901052	0.9117647058823529	0.9666565483393958	0.9919667590027701	0.001	2
2	0.159047051850165	0.04459412023425102	0.9587107168454656	0.9631728045325779	0.9823824188878737	0.9938899881282153	0.001	2
3	0.12213050440301329	0.03815973550081253	0.9644414398108759	0.9681159420289855	0.9792683120530143	0.9929125445191928	0.001	2
4	0.08477247144833087	0.033733997493982315	0.9617707797726714	0.9659090909090909	0.9447195286527257	0.9944994064107637	0.001	2
5	0.07021449264928899	0.04215849190950394	0.9487455480807281	0.9542857142857143	0.9763202926396382	0.993177681044717	0.001	2
6	0.07420860047468208	0.041891176253557205	0.9533897981326095	0.958217270194986	0.974983832667237	0.9971764938662445	0.001	2
7	0.06648504900863036	0.03935186564922333	0.9650699132178551	0.9688385269121813	0.9799537645649459	0.9965294815987338	0.001	2
8	0.041359032711284834	0.03295658901333809	0.9678243526968534	0.9712643678160919	0.9861598564536572	0.994831816383063	0.001	2
9	0.08240521871705604	0.04346373304724693	0.9480191494376782	0.9532163742690059	0.978681408313776	0.9936327661258408	0.001	2
10	0.05595868427121898	0.052432987838983536	0.9487455480807281	0.9542857142857143	0.9817762937094627	0.9931183221210923	0.001	2
11	0.0613442191996341	0.0934242308139801	0.8914185840086202	0.9030470914127424	0.9661995604021513	0.9942382271468144	0.001	2
12	0.02808579122836531	0.05278473719954491	0.9487455480807281	0.9542857142857143	0.9737863422207933	0.9965631183221211	0.0005	2
13	0.027087424388962507	0.0648208037018776	0.9456833675786441	0.9515669515669516	0.9751727391172532	0.9961970716264346	0.0005	2
1	0.47048995566779167	0.14419108629226685	0.8697370651630069	0.8808290155440415	0.9778266828158759	0.9953264740799368	0.001	3
2	0.18884576094082184	0.04577226564288139	0.9629710211975797	0.9666666666666667	0.9714521003648496	0.9964740799366838	0.001	3
3	0.11890333726155695	0.045521870255470276	0.9446832663966258	0.9502762430939227	0.9866483647001326	0.9973486347447567	0.001	3
4	0.1066319510217967	0.04326323792338371	0.950054684053629	0.9553072625698324	0.9886515231079244	0.9978907795805303	0.001	3
5	0.12633692112429012	0.027410700917243958	0.9553958564652593	0.9602272727272727	0.9921325753481121	0.9958804907004353	0.001	3
6	0.0994933860226227	0.043664976954460144	0.950465154832636	0.9555555555555556	0.9864349196321247	0.9965927977839336	0.001	3
7	0.07684278281966427	0.03838517889380455	0.9587107168454656	0.9631728045325779	0.986632783698055	0.99602690937871	0.001	3
1	0.44218241539898473	0.052009474486112595	0.9144380509242369	0.9216867469879518	0.9773743492548402	0.9968460625247328	0.001	4
2	0.183858722313009	0.030688084661960602	0.9650699132178551	0.9688385269121813	0.9761622422296939	0.9975464978235061	0.001	4
3	0.09579097762648842	0.030339576303958893	0.9714291095902445	0.9745042492917847	0.9805914904097386	0.9971230708349822	0.001	4
4	0.10007188279093404	0.026313360780477524	0.9808955496949079	0.9829545454545454	0.9854050980619835	0.9981757024139296	0.001	4
5	0.13432346035157483	0.02346835285425186	0.9681457030800835	0.9715909090909091	0.983002162497367	0.9981084289671547	0.001	4
6	0.07566134172079975	0.027207141742110252	0.9714291095902445	0.9745042492917847	0.9808278291830411	0.9975108824693312	0.001	4
7	0.06832275762266578	0.06302833557128906	0.8933723948203603	0.9015544041450777	0.9809087529810451	0.9979382667194302	0.001	4
8	0.09306751445536227	0.03549353405833244	0.9615591610605461	0.9657142857142857	0.9524148706135876	0.9925722200237437	0.001	4
9	0.05750535491677896	0.04008937627077103	0.949676515122045	0.9550561797752809	0.9577476117126467	0.9972655322516818	0.0005	4
