mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__coef0,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08427600860595703,0.008999977076164123,0.015435552597045899,0.00317114717144333,0.1,0.0,2,scale,linear,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9626865671641791,0.9664179104477612,0.9651741293532339,0.9552238805970149,0.9651741293532339,0.9629353233830846,0.00404181015156019,23
0.13921170234680175,0.007854822090852595,0.06463456153869629,0.0042163853390577025,0.1,0.0,2,scale,rbf,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9365671641791045,0.9390547263681592,0.945273631840796,0.9415422885572139,0.9402985074626866,0.940547263681592,0.002879561418604541,147
0.14199633598327638,0.008035473975609927,0.031061649322509766,0.0032034078535453955,0.1,0.0,2,scale,poly,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.914179104477612,0.9166666666666666,0.9166666666666666,0.9228855721393034,0.9104477611940298,0.9161691542288557,0.004057091151815936,201
0.1646413803100586,0.008797197610930832,0.03368830680847168,0.0004764031819563453,0.1,0.0,2,scale,sigmoid,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.9490049751243781,0.9477611940298507,0.9552238805970149,0.9502487562189055,0.9514925373134329,0.9507462686567164,0.0025611020251211512,127
0.06966276168823242,0.0015691499712607209,0.01316986083984375,0.0013791648067649684,0.1,0.0,2,auto,linear,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9626865671641791,0.9664179104477612,0.9651741293532339,0.9552238805970149,0.9651741293532339,0.9629353233830846,0.00404181015156019,23
0.12293334007263183,0.0047360298043432544,0.062160825729370116,0.0031185948896823804,0.1,0.0,2,auto,rbf,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9365671641791045,0.9390547263681592,0.945273631840796,0.9415422885572139,0.9402985074626866,0.940547263681592,0.002879561418604541,147
0.11862092018127442,0.006737572255200484,0.024398136138916015,0.0023945548474206303,0.1,0.0,2,auto,poly,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.914179104477612,0.9166666666666666,0.9166666666666666,0.9228855721393034,0.9104477611940298,0.9161691542288557,0.004057091151815936,201
0.1581859588623047,0.006506818929641712,0.04231729507446289,0.0051084727385604595,0.1,0.0,2,auto,sigmoid,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.9490049751243781,0.9477611940298507,0.9552238805970149,0.9502487562189055,0.9514925373134329,0.9507462686567164,0.0025611020251211512,127
0.07907476425170898,0.007373497417826441,0.012651872634887696,0.0013954534087051473,0.1,0.0,3,scale,linear,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9626865671641791,0.9664179104477612,0.9651741293532339,0.9552238805970149,0.9651741293532339,0.9629353233830846,0.00404181015156019,23
0.12160639762878418,0.00689081443572419,0.05097794532775879,0.0023401468760543324,0.1,0.0,3,scale,rbf,"{'svc__C': 0.1, 'svc__coef0': 0.0, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9365671641791045,0.9390547263681592,0.945273631840796,0.9415422885572139,0.9402985074626866,0.940547263681592,0.002879561418604541,147
